0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:26 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:37 +0800] "GET /TELLER2.0/teller/left.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:37 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:39 +0800] "GET /TELLER2.0/teller/left.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:39 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:47 +0800] "GET /TELLER2.0/teller/pswManager.jsp HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:48 +0800] "GET /TELLER2.0/teller/left.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:48 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:51 +0800] "GET /TELLER2.0/teller/left.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:52 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:53 +0800] "GET /TELLER2.0/teller/left.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:53 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:57 +0800] "GET /TELLER2.0/teller/pswManager.jsp HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:59 +0800] "GET /TELLER2.0/teller/left.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:34:59 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:01 +0800] "GET /TELLER2.0/teller/left.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:01 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:07 +0800] "GET /TELLER2.0/ HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:14 +0800] "POST /TELLER2.0/login.do HTTP/1.1" 200 3423
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:14 +0800] "GET /TELLER2.0/teller/admin_top.jsp HTTP/1.1" 200 4126
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:14 +0800] "GET /TELLER2.0/teller/right.jsp HTTP/1.1" 200 5731
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:14 +0800] "GET /TELLER2.0/teller/mess.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:14 +0800] "GET /TELLER2.0/teller/left.jsp HTTP/1.1" 200 7774
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:14 +0800] "GET /TELLER2.0/js/getFlowNo.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:14 +0800] "GET /TELLER2.0/px.gif HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:14 +0800] "GET /TELLER2.0/teller/images/menu_bgS.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:35:17 +0800] "GET /TELLER2.0/teller/settlePay.jsp HTTP/1.1" 200 13832
